"","estimate","LB95","UB95","LB90","UB90"
"probability of smoking at the mean of control covariates when did not engage","0.335","0.271","0.405","0.281","0.394"
"probability of smoking at the mean of control covariates when engaged","0.368","0.315","0.424","0.323","0.414"
