"condition","est_prob","LB95","UB95"
"No Prompt",0.507686932215234,0.494735525173678,0.52063833925679
"High Effort Prompt",0.239343116701607,0.228289531852163,0.250396701551051
"Low Effort Prompt",0.252969951083159,0.24170830739009,0.264231594776227
