"","estimate","LB95","UB95","LB90","UB90"
"probability of smoking at the mean of control covariates when did not engage","0.278","0.222","0.341","0.230","0.331"
"probability of smoking at the mean of control covariates when engaged","0.324","0.277","0.374","0.285","0.366"
