"","contrast","est_contrast","LB95","UB95","est_stderr_contrast"
"1","high vs none","0.09999906","0.053383087","0.14661502","0.02378409"
"2","low vs none","0.05696542","0.020054176","0.09387666","0.01883261"
"3","high vs low","0.04303364","0.001918586","0.08414869","0.02097745"
