"","contrast","est_contrast","LB95","UB95","est_stderr_contrast"
"1","high vs none","0.11285929","0.065036586","0.16068199","0.02439979"
"2","low vs none","0.05675998","0.018325421","0.09519454","0.01960983"
"3","high vs low","0.05609931","0.009767752","0.10243087","0.02363898"
