"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"High vs. None","0.17910824","0.09766129","0.2605552","0.04102602","4.365723","95.000","3.225031e-05"
"Low vs. None","0.09351167","0.02539438","0.1616290","0.03431167","2.725360","95.000","7.647487e-03"
"High vs. Low","0.08559657","0.01010365","0.1610895","0.03802689","2.250949","95.000","2.669432e-02"
