"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"High vs. None","0.15743229"," 0.077698197","0.2371664","0.04022559","3.913735","108.000","0.0001593332"
"Low vs. None","0.09614106"," 0.030956931","0.1613252","0.03288518","2.923538","108.000","0.0042169257"
"High vs. Low","0.06129123","-0.006106575","0.1286890","0.03400197","1.802579","108.000","0.0742433846"
