"","estimate","LB95","UB95","LB90","UB90"
"probability of smoking at the mean of control covariates when did not engage","0.290","0.235","0.353","0.243","0.343"
"probability of smoking at the mean of control covariates when engaged","0.351","0.300","0.405","0.308","0.396"
